Carbon dioxide,Methane,Nitrous oxide,Others,Year,Pm2.5
"6,023.13",815.7018447,410.9438101,170.1073093,2000,13.51710942
"5,903.53",807.0841087,421.725702,154.9729104,2001,13.24451341
"5,947.79",801.0913535,422.9345562,158.0773943,2002,12.86140102
"6,006.42",801.1289555,423.4138452,155.9283032,2003,12.3844783
"6,111.52",796.4336377,428.5055904,155.8681366,2004,11.95805576
"6,126.86",795.4291811,419.1899515,153.1538546,2005,12.84813616
"6,045.30",806.6458704,420.5621597,156.6671154,2006,11.67683383
"6,121.52",810.2549411,431.6420274,166.4868772,2007,11.94320264
"5,919.21",821.5821974,416.5148256,169.0454256,2008,10.93766989
"5,486.09",806.7759669,410.0665434,163.9874539,2009,9.914517257
"5,668.74",807.5987024,418.2632915,171.4032358,2010,10.0263882
"5,540.33",778.2884796,419.8508817,173.2960842,2011,9.852618784
"5,332.81",764.0636185,392.7936111,171.2370768,2012,9.216858412
"5,473.66",766.2054129,434.0224919,171.5194751,2013,8.983638203
"5,529.88",762.3914571,439.6077918,173.9680194,2014,8.904029655
"5,368.29",764.3866251,426.9659574,176.5713436,2015,8.558982935
"5,246.40",744.5905238,413.408295,175.6342273,2016,7.761011222
"5,196.54",759.4800752,417.8189442,177.1882952,2017,8.091196283
"5,362.19",771.4810667,439.453215,179.6242122,2018,8.229975179
"5,234.49",754.3411391,416.3774829,184.9220552,2019,7.543909376
"4,688.97",735.3488325,391.1677313,186.3215045,2020,7.948940312
"5,017.20",720.4681525,398.167133,192.956988,2021,8.291505743
5053.018689,702.354745,389.7078583,198.1280381,2022,7.527644652